"Id","CarMarkId","Title"
1293,53,Porsche Cayman
1135,53,Porsche Macan
1096,53,Porsche Panamera
1589,54,
806,54,Renault 10
807,54,Renault 11
808,54,Renault 19
809,54,Renault 21
810,54,Renault 25
811,54,Renault 5
812,54,Renault 9
1844,54,Renault Arkana
258,54,Renault Clio
813,54,Renault Dokker
65,54,Renault Duster
814,54,Renault Espace
108,54,Renault Fluence
195,54,Renault Kangoo
274,54,Renault Kaptur
289,54,Renault Koleos
179,54,Renault Laguna
815,54,Renault Latitude
13,54,Renault Logan
622,54,Renault Master
35,54,Renault Megane
816,54,Renault Modus
817,54,Renault Safrane
89,54,Renault Sandero
131,54,Renault Scenic
106,54,Renault Symbol
818,54,Renault Trafic
819,54,Renault Twingo
820,54,Renault Twizy
821,54,Renault Vel Satis
1475,55,Rolls-Royce Ghost
1379,55,Rolls-Royce Phantom
1491,55,Rolls-Royce Wraith
988,56,Saab 90
989,56,Saab 900
990,56,Saab 9000
983,56,Saab 9-2X
991,56,Saab 93
984,56,Saab 9-3
1547,56,Saab 9-3 Sport
985,56,Saab 9-4X
992,56,Saab 95
986,56,Saab 9-5
993,56,Saab 96
987,56,Saab 9-7X
994,56,Saab 99
995,56,Saab Sonett
1210,57,SEAT Alhambra
1226,57,SEAT Altea
1504,57,SEAT Arosa
1150,57,SEAT Cordoba
1078,57,SEAT Ibiza
1046,57,SEAT Leon
1176,57,SEAT Toledo
1631,58,
907,58,Skoda Citigo
70,58,Skoda Fabia
908,58,Skoda Favorit
909,58,Skoda Felicia
910,58,Skoda Kodiaq
16,58,Skoda Octavia
911,58,Skoda Popular
1238,58,Skoda Praktik
161,58,Skoda Rapid
912,58,Skoda Roomster
134,58,Skoda Superb
109,58,Skoda Yeti
1189,59,Smart Forfour
1026,59,Smart Fortwo
1163,59,Smart Roadster
1618,60,
99,60,Ssang-Yong Actyon
248,60,Ssang-Yong Actyon Sports
1034,60,Ssang-Yong Chairman
1042,60,Ssang-Yong Istana
1035,60,Ssang-Yong Kallista
1036,60,Ssang-Yong Korando
103,60,Ssang-Yong Kyron
1037,60,Ssang-Yong Musso
1038,60,Ssang-Yong Nomad
211,60,Ssang-Yong Rexton
1039,60,Ssang-Yong Rodius
1040,60,Ssang-Yong Stavic
1041,60,Ssang-Yong Tivoli
1650,61,
524,61,Subaru 360
525,61,Subaru Alcyone
527,61,Subaru Baja
526,61,Subaru BRZ
528,61,Subaru Dex
529,61,Subaru Domingo
530,61,Subaru Exiga
94,61,Subaru Forester
115,61,Subaru Impreza
531,61,Subaru Impreza WRX
532,61,Subaru Impreza WRX STi
